,No. of bombers,No. of fighters,No. of UAVs,Deterrence Mission Delays,Escort Mission Delays,Recon Mission Delays
303,4,8,10,12.788941323949402,15.937267323150742,1.5013137817130393
304,4,8,12,14.715907548735474,17.578090192148995,1.4454116558030423
305,4,8,12,14.573509796771637,18.098179551074335,1.3248306816979056
306,4,8,12,14.137936606098135,15.054580777654907,1.4287492532669057
307,4,8,12,14.891827213350664,18.754016744967792,1.655236107995963
308,4,8,12,14.590979527490251,17.637545554025692,1.5573189386606057
309,4,8,12,14.257917615365521,17.500716727941825,1.4663532555950243
310,4,8,12,14.54696601958326,15.382314615352989,1.4147832462114946
311,4,8,12,14.311585128068502,16.674492686671893,1.4597046973482495
312,6,8,8,8.963312528115008,5.49303231785372,1.9220630717286986
313,6,8,8,8.883882326527592,6.246662438186802,1.9335520221688325
314,6,8,8,8.708172995155175,5.6939122576138015,1.8960847156584224
315,6,8,8,9.460306317407477,5.514769977226742,2.119430434581457
316,6,8,8,8.704861581449252,5.8759004528032825,1.874980911185556
317,6,8,8,8.70519319942352,6.161977613777221,1.9525049333901143
318,6,8,8,8.760389072607156,6.043655040554934,1.9095174930877148
319,6,8,8,8.496405981051215,5.736476206048374,2.0343727288751605
320,6,8,10,9.653038823694915,7.217730898527611,1.417577576017925
321,6,8,10,10.206246820217709,6.650011896715324,1.5567707917891542
322,6,8,10,10.730448096780824,7.481074400301244,1.45559677311557
323,6,8,10,10.125481986188511,7.345881247655106,1.622346416090607
324,6,8,10,9.955007902001391,6.889582428805037,1.402337565159832
325,6,8,10,10.31337931008567,7.372767220871509,1.5691976460776913
326,6,8,10,9.773487239442316,6.517655296058739,1.4347082511493228
327,6,8,10,10.046616072116704,7.256941848409834,1.491879281130339
328,6,8,12,11.508366752466491,9.0900840070314,1.4961272317183787
329,6,8,12,10.377296154647519,8.025907010945602,1.2558599565843556
330,6,8,12,10.885535215724692,8.683782687108755,1.3041146767429277
331,6,8,12,10.683625422487857,8.859587326977543,1.1977037178529673
332,6,8,12,10.766238095647712,8.903839121558716,1.2659261530461294
333,6,8,12,10.96917679445341,9.133750558107437,1.1945104759788616
334,6,8,12,11.04661141412058,8.80284253161928,1.2919535029402507
335,6,8,12,11.034901752596989,8.735893549943032,1.2737938778809987
336,8,8,8,7.247212429367656,5.07397686825312,1.6181112190933415
337,8,8,8,7.300023880061154,4.831659433052309,1.6526326396979232
338,8,8,8,7.081572590777956,4.726912214973662,1.4997831118467873
339,8,8,8,6.916501529005331,4.524463261827951,1.5834703149295066
340,8,8,8,6.786223761601865,4.795201889772204,1.632746011378034
341,8,8,8,6.998530205622494,4.673678028884523,1.579709581304388
342,8,8,8,7.101312907835954,4.807334234308582,1.8838273427414287
343,8,8,8,6.945541637538716,4.785843755852196,1.441645556258026
344,8,8,10,8.02086468879839,5.886785805612106,1.2043540708930467
345,8,8,10,8.075124229146274,6.252761920555765,1.298270692785316
346,8,8,10,8.206295361211428,5.6968217353343915,1.3353908135416415
347,8,8,10,7.805355253693688,5.386880642786645,1.2088709248841538
348,8,8,10,7.970111527416292,6.247492844741776,1.2942900186545532
349,8,8,10,7.526002573880219,5.4124730107714365,1.107434170825606
350,8,8,10,9.13405445894242,6.305408234826023,1.6393967268630534
351,8,8,10,8.243906886902037,6.0342946070083965,1.1391180273826256
352,8,8,12,8.72882070018003,6.884186866127894,1.1118730696700416
353,8,8,12,8.611422569157572,7.00954843153097,1.0804767307909893
354,8,8,12,8.552796736518706,6.44797289154329,1.0356740470000891
355,8,8,12,8.619981087612805,7.058320109538005,1.0946057350804006
356,8,8,12,8.63692976553478,6.972599098261473,1.036866465794488
357,8,8,12,8.486308681674686,6.5678079636537525,0.9699092332260923
358,8,8,12,8.424572209313583,6.477112775628227,1.0330598983587311
359,8,8,12,8.781138361396113,7.232451761736283,1.0540677593118994
360,4,10,8,11.342589049085054,11.424908572514674,2.1055845786934215
361,4,10,8,11.46057753883781,12.763266328156,2.121968454643937
362,4,10,8,11.47486097582422,11.326075271913716,2.223307279986346
363,4,10,8,11.611537550953887,12.262946680700525,2.218140112123379
364,4,10,8,11.819357139771503,14.3786566675569,2.46525774803454
365,4,10,8,10.929819524249258,10.987518327672078,2.193082086437931
366,4,10,8,11.751504689732776,11.694508889975621,2.344380516059852
367,4,10,8,11.127101673241595,13.940501364739625,2.236650317610806
368,4,10,10,13.663642258541477,15.688792437219014,1.594558427322513
369,4,10,10,13.382134858435395,16.805151731872524,1.5028543171144295
370,4,10,10,12.641414734054397,13.683238345146476,1.6898478898430052
371,4,10,10,12.815375188506875,14.400635466670598,1.797003396581368
372,4,10,10,13.513437087857675,15.736378166971623,1.575218897442137
373,4,10,10,12.843408460254679,14.953185258006574,1.6581943882794676
374,4,10,10,13.083868819602339,15.9311554883819,1.5804527332951905
375,4,10,10,12.988551314537842,15.490685571846255,1.7052406783326717
376,4,10,12,15.152063885119148,17.47446580186208,1.3672040914528651
377,4,10,12,13.960949631249298,16.150902713509613,1.3390778789680788
378,4,10,12,14.70642737194202,16.694656860532103,1.527110682127669
379,4,10,12,14.221568718006237,16.803372987543455,1.5617049137431287
380,4,10,12,13.975501727551823,15.992479368342664,1.3952779263793225
381,4,10,12,14.625064238908207,15.835663864544697,1.5676991115311734
382,4,10,12,14.463799865637,17.33979828701167,1.4777436955261312
383,4,10,12,14.295911642067118,15.498729525632289,1.4379937952502286
384,6,10,8,8.749581750186952,6.226492793262268,1.7668484088859884
385,6,10,8,9.512830533981894,5.559705556066803,2.1115222399419538
386,6,10,8,8.799643300009919,4.97997394227067,1.9089331551138236
387,6,10,8,8.283074040808337,5.469996967963968,2.0058943460994434
388,6,10,8,8.848963790023596,5.1012625564399,1.9466166945458725
389,6,10,8,9.063941072041146,5.68314247673898,1.8844366479821502
390,6,10,8,8.912084933142232,5.578819689428806,2.2657806440387547
391,6,10,8,9.14408025788089,5.64779810722516,1.906789281101203
392,6,10,10,10.353542481664856,6.940809890239425,1.579138704720328
393,6,10,10,10.493222181038359,7.524390201775204,1.6340011135924941
394,6,10,10,10.198838179363348,7.2736762354988755,1.5649630004563635
395,6,10,10,10.305164664398674,7.602156680175088,1.3638780335949292
396,6,10,10,10.080520916637596,7.263850479882317,1.477818363069123
397,6,10,10,10.072525278686136,7.540053264605753,1.380461456881322
398,6,10,10,10.602429980966917,7.936601216900218,1.6677061790077523
399,6,10,10,10.153966154906296,7.726572594354014,1.5897183230670313
400,6,10,12,11.106866911424163,9.427455486853473,1.2417167730769711
401,6,10,12,11.141641168821941,9.110408707447474,1.298293123904569
402,6,10,12,11.145678407879302,9.252942923804767,1.1449114986267375
403,6,10,12,11.325075504543436,8.90999296003048,1.4492374405585067
404,6,10,12,11.553042315623674,9.186815971253834,1.3402661985718454
405,6,10,12,10.47410442814408,8.295144865178385,1.370172686223856
406,6,10,12,11.138036230160965,9.151836100519338,1.3259814041201006
407,6,10,12,10.656184314186087,8.942687369851061,1.2782861627527442
408,8,10,8,7.3185137464127425,4.6777430333300005,1.7661649668853499
409,8,10,8,6.902112379967309,4.819168583645427,1.6311162417306635
410,8,10,8,7.060626543511109,4.455063499499389,1.7546386344452072
411,8,10,8,6.940219172869117,4.711037752055679,1.62861008569429
412,8,10,8,7.09823481384858,4.923562573156135,1.617001480906756
413,8,10,8,6.9537925433028205,4.165211879478165,1.82891932115821
414,8,10,8,7.158709696334696,4.376493710521145,1.4748033795526532
415,8,10,8,7.250106907019723,4.890326402410231,1.6500365202318557
416,8,10,10,7.676223547587615,5.588883262095695,1.2710625381483887
417,8,10,10,7.761302345376314,5.3995617707945875,1.282579965720821
418,8,10,10,8.122954351430305,5.862004680853541,1.2846229234500377
419,8,10,10,7.726791160727325,5.234449088769901,1.3502875187708916
420,8,10,10,7.945546174801419,5.737469299074297,1.3076697176846677
421,8,10,10,7.710695971737639,5.6456329619053625,1.319667182524535
422,8,10,10,7.83003446532447,5.623118097254934,1.3054892465895773
